chromosome	start	end	K-specific NDR	center
chr1	23027886	23029886	COAD-specific NDR	23028886
chr1	23042707	23044707	COAD-specific NDR	23043707
chr1	23063356	23065356	COAD-specific NDR	23064356
chr1	23071691	23073691	COAD-specific NDR	23072691
chr1	23294921	23296921	COAD-specific NDR	23295921
chr1	23449247	23451247	COAD-specific NDR	23450247
chr1	23474781	23476781	COAD-specific NDR	23475781
chr1	23550729	23552729	COAD-specific NDR	23551729
chr1	23762337	23764337	COAD-specific NDR	23763337
chr1	23850812	23852812	COAD-specific NDR	23851812
chr1	23872862	23874862	COAD-specific NDR	23873862
chr1	23945370	23947370	COAD-specific NDR	23946370
chr1	24434002	24436002	COAD-specific NDR	24435002
chr1	24468736	24470736	COAD-specific NDR	24469736
chr1	24501028	24503028	COAD-specific NDR	24502028
chr1	24522742	24524742	COAD-specific NDR	24523742
chr1	24651764	24653764	COAD-specific NDR	24652764
chr1	24714959	24716959	COAD-specific NDR	24715959
chr1	25190171	25192171	COAD-specific NDR	25191171
chr1	25217108	25219108	COAD-specific NDR	25218108
chr1	25494054	25496054	COAD-specific NDR	25495054
chr1	25523594	25525594	COAD-specific NDR	25524594
chr1	25533761	25535761	COAD-specific NDR	25534761
chr1	25826735	25828735	COAD-specific NDR	25827735
chr1	26404246	26406246	COAD-specific NDR	26405246
chr1	26502925	26504925	COAD-specific NDR	26503925
chr1	26602997	26604997	COAD-specific NDR	26603997
chr1	26679706	26681706	COAD-specific NDR	26680706
chr1	26682759	26684759	COAD-specific NDR	26683759
chr1	26684504	26686504	COAD-specific NDR	26685504
chr1	26856833	26858833	COAD-specific NDR	26857833
chr1	26863538	26865538	COAD-specific NDR	26864538
chr1	27180655	27182655	COAD-specific NDR	27181655
chr1	27239743	27241743	COAD-specific NDR	27240743
chr1	27271328	27273328	COAD-specific NDR	27272328
chr1	27487270	27489270	COAD-specific NDR	27488270
chr1	27517732	27519732	COAD-specific NDR	27518732
chr1	27843793	27845793	COAD-specific NDR	27844793
chr1	28012339	28014339	COAD-specific NDR	28013339
chr1	28647952	28649952	COAD-specific NDR	28648952
chr1	28649487	28651487	COAD-specific NDR	28650487
chr1	28691541	28693541	COAD-specific NDR	28692541
chr1	29073901	29075901	COAD-specific NDR	29074901
chr1	29185992	29187992	COAD-specific NDR	29186992
chr1	31862083	31864083	COAD-specific NDR	31863083
chr1	31916865	31918865	COAD-specific NDR	31917865
chr1	32001749	32003749	COAD-specific NDR	32002749
chr1	32041043	32043043	COAD-specific NDR	32042043
chr1	32046598	32048598	COAD-specific NDR	32047598
chr1	32302515	32304515	COAD-specific NDR	32303515
chr1	32320209	32322209	COAD-specific NDR	32321209
chr1	32680893	32682893	COAD-specific NDR	32681893
chr1	32786524	32788524	COAD-specific NDR	32787524
chr1	33202109	33204109	COAD-specific NDR	33203109
chr1	33207815	33209815	COAD-specific NDR	33208815
chr1	33321019	33323019	COAD-specific NDR	33322019
chr1	33369261	33371261	COAD-specific NDR	33370261
chr1	33398734	33400734	COAD-specific NDR	33399734
chr1	33400839	33402839	COAD-specific NDR	33401839
chr1	33413727	33415727	COAD-specific NDR	33414727
chr1	33487425	33489425	COAD-specific NDR	33488425
chr1	35147675	35149675	COAD-specific NDR	35148675
chr1	35150035	35152035	COAD-specific NDR	35151035
chr1	35153254	35155254	COAD-specific NDR	35154254
chr1	35246817	35248817	COAD-specific NDR	35247817
chr1	36643673	36645673	COAD-specific NDR	36644673
chr1	38161979	38163979	COAD-specific NDR	38162979
chr1	38197237	38199237	COAD-specific NDR	38198237
chr1	38244800	38246800	COAD-specific NDR	38245800
chr1	38731028	38733028	COAD-specific NDR	38732028
chr1	39433968	39435968	COAD-specific NDR	39434968
chr1	39623478	39625478	COAD-specific NDR	39624478
chr1	40031647	40033647	COAD-specific NDR	40032647
chr1	40282161	40284161	COAD-specific NDR	40283161
chr1	40283350	40285350	COAD-specific NDR	40284350
chr1	40284362	40286362	COAD-specific NDR	40285362
chr1	40445358	40447358	COAD-specific NDR	40446358
chr1	40494494	40496494	COAD-specific NDR	40495494
chr1	40691055	40693055	COAD-specific NDR	40692055
chr1	41093402	41095402	COAD-specific NDR	41094402
chr1	41966509	41968509	COAD-specific NDR	41967509
chr1	42630693	42632693	COAD-specific NDR	42631693
chr1	42632875	42634875	COAD-specific NDR	42633875
chr1	42896312	42898312	COAD-specific NDR	42897312
chr1	43157313	43159313	COAD-specific NDR	43158313
chr1	43436638	43438638	COAD-specific NDR	43437638
chr1	43445232	43447232	COAD-specific NDR	43446232
chr1	43735293	43737293	COAD-specific NDR	43736293
chr1	43767668	43769668	COAD-specific NDR	43768668
chr1	43810123	43812123	COAD-specific NDR	43811123
chr1	43987984	43989984	COAD-specific NDR	43988984
chr1	43989665	43991665	COAD-specific NDR	43990665
chr1	44022596	44024596	COAD-specific NDR	44023596
chr1	44308840	44310840	COAD-specific NDR	44309840
chr1	44493274	44495274	COAD-specific NDR	44494274
chr1	44703004	44705004	COAD-specific NDR	44704004
chr1	44725634	44727634	COAD-specific NDR	44726634
chr1	44732360	44734360	COAD-specific NDR	44733360
chr1	44748331	44750331	COAD-specific NDR	44749331
chr1	44754350	44756350	COAD-specific NDR	44755350
chr1	45049058	45051058	COAD-specific NDR	45050058
chr1	45256404	45258404	COAD-specific NDR	45257404
chr1	45599205	45601205	COAD-specific NDR	45600205
chr1	45606095	45608095	COAD-specific NDR	45607095
chr1	45675915	45677915	COAD-specific NDR	45676915
chr1	45800752	45802752	COAD-specific NDR	45801752
chr1	46108929	46110929	COAD-specific NDR	46109929
chr1	46349589	46351589	COAD-specific NDR	46350589
chr1	46437997	46439997	COAD-specific NDR	46438997
chr1	46443869	46445869	COAD-specific NDR	46444869
chr1	46646274	46648274	COAD-specific NDR	46647274
chr1	46652351	46654351	COAD-specific NDR	46653351
chr1	46865238	46867238	COAD-specific NDR	46866238
chr1	46981792	46983792	COAD-specific NDR	46982792
chr1	47118379	47120379	COAD-specific NDR	47119379
chr1	47152148	47154148	COAD-specific NDR	47153148
chr1	47396953	47398953	COAD-specific NDR	47397953
chr1	47657301	47659301	COAD-specific NDR	47658301
chr1	47788589	47790589	COAD-specific NDR	47789589
chr1	47790413	47792413	COAD-specific NDR	47791413
chr1	47974030	47976030	COAD-specific NDR	47975030
chr1	48007990	48009990	COAD-specific NDR	48008990
chr1	48116194	48118194	COAD-specific NDR	48117194
chr1	48162862	48164862	COAD-specific NDR	48163862
chr1	48167013	48169013	COAD-specific NDR	48168013
chr1	48216794	48218794	COAD-specific NDR	48217794
chr1	48302718	48304718	COAD-specific NDR	48303718
chr1	48988456	48990456	COAD-specific NDR	48989456
chr1	50794180	50796180	COAD-specific NDR	50795180
chr1	50939715	50941715	COAD-specific NDR	50940715
chr1	50958622	50960622	COAD-specific NDR	50959622
chr1	51085883	51087883	COAD-specific NDR	51086883
chr1	51770323	51772323	COAD-specific NDR	51771323
chr1	51982864	51984864	COAD-specific NDR	51983864
chr1	52878365	52880365	COAD-specific NDR	52879365
chr1	53648117	53650117	COAD-specific NDR	53649117
chr1	53760608	53762608	COAD-specific NDR	53761608
chr1	53815164	53817164	COAD-specific NDR	53816164
chr1	54422047	54424047	COAD-specific NDR	54423047
chr1	54432997	54434997	COAD-specific NDR	54433997
chr1	54559151	54561151	COAD-specific NDR	54560151
chr1	54589364	54591364	COAD-specific NDR	54590364
chr1	54629588	54631588	COAD-specific NDR	54630588
chr1	54718876	54720876	COAD-specific NDR	54719876
chr1	54762466	54764466	COAD-specific NDR	54763466
chr1	54763894	54765894	COAD-specific NDR	54764894
chr1	54813152	54815152	COAD-specific NDR	54814152
chr1	54874321	54876321	COAD-specific NDR	54875321
chr1	54883458	54885458	COAD-specific NDR	54884458
chr1	54889941	54891941	COAD-specific NDR	54890941
chr1	55029186	55031186	COAD-specific NDR	55030186
chr1	55106043	55108043	COAD-specific NDR	55107043
chr1	55114008	55116008	COAD-specific NDR	55115008
chr1	55410357	55412357	COAD-specific NDR	55411357
chr1	55988846	55990846	COAD-specific NDR	55989846
chr1	56607164	56609164	COAD-specific NDR	56608164
chr1	56973384	56975384	COAD-specific NDR	56974384
chr1	59270814	59272814	COAD-specific NDR	59271814
chr1	59289905	59291905	COAD-specific NDR	59290905
chr1	59335138	59337138	COAD-specific NDR	59336138
chr1	59350195	59352195	COAD-specific NDR	59351195
chr1	59361518	59363518	COAD-specific NDR	59362518
chr1	59393389	59395389	COAD-specific NDR	59394389
chr1	59394564	59396564	COAD-specific NDR	59395564
chr1	59492818	59494818	COAD-specific NDR	59493818
chr1	59554975	59556975	COAD-specific NDR	59555975
chr1	59658229	59660229	COAD-specific NDR	59659229
chr1	59964741	59966741	COAD-specific NDR	59965741
chr1	59987954	59989954	COAD-specific NDR	59988954
chr1	60021759	60023759	COAD-specific NDR	60022759
chr1	60322818	60324818	COAD-specific NDR	60323818
chr1	60357742	60359742	COAD-specific NDR	60358742
chr1	60598026	60600026	COAD-specific NDR	60599026
chr1	60883878	60885878	COAD-specific NDR	60884878
chr1	61288025	61290025	COAD-specific NDR	61289025
chr1	61291462	61293462	COAD-specific NDR	61292462
chr1	61298100	61300100	COAD-specific NDR	61299100
chr1	61519537	61521537	COAD-specific NDR	61520537
chr1	61915300	61917300	COAD-specific NDR	61916300
chr1	62471532	62473532	COAD-specific NDR	62472532
chr1	62646893	62648893	COAD-specific NDR	62647893
chr1	63185847	63187847	COAD-specific NDR	63186847
chr1	64106101	64108101	COAD-specific NDR	64107101
chr1	64780354	64782354	COAD-specific NDR	64781354
chr1	65219060	65221060	COAD-specific NDR	65220060
chr1	65220266	65222266	COAD-specific NDR	65221266
chr1	65445885	65447885	COAD-specific NDR	65446885
chr1	65573217	65575217	COAD-specific NDR	65574217
chr1	66097132	66099132	COAD-specific NDR	66098132
chr1	66597189	66599189	COAD-specific NDR	66598189
chr1	66603512	66605512	COAD-specific NDR	66604512
chr1	66604943	66606943	COAD-specific NDR	66605943
chr1	67386950	67388950	COAD-specific NDR	67387950
chr1	67568419	67570419	COAD-specific NDR	67569419
chr1	67602256	67604256	COAD-specific NDR	67603256
chr1	67603989	67605989	COAD-specific NDR	67604989
chr1	67746075	67748075	COAD-specific NDR	67747075
chr1	68096623	68098623	COAD-specific NDR	68097623
chr1	68133520	68135520	COAD-specific NDR	68134520
chr1	68173476	68175476	COAD-specific NDR	68174476
chr1	68176018	68178018	COAD-specific NDR	68177018
chr1	68224935	68226935	COAD-specific NDR	68225935
chr1	68280653	68282653	COAD-specific NDR	68281653
chr1	68282159	68284159	COAD-specific NDR	68283159
chr1	68283823	68285823	COAD-specific NDR	68284823
chr1	68292451	68294451	COAD-specific NDR	68293451
chr1	68566753	68568753	COAD-specific NDR	68567753
chr1	68664434	68666434	COAD-specific NDR	68665434
chr1	70969268	70971268	COAD-specific NDR	70970268
chr1	71553626	71555626	COAD-specific NDR	71554626
chr1	72288512	72290512	COAD-specific NDR	72289512
chr1	73521721	73523721	COAD-specific NDR	73522721
chr1	74246099	74248099	COAD-specific NDR	74247099
chr1	74268187	74270187	COAD-specific NDR	74269187
chr1	74445547	74447547	COAD-specific NDR	74446547
chr1	76502218	76504218	COAD-specific NDR	76503218
chr1	77012766	77014766	COAD-specific NDR	77013766
chr1	77059996	77061996	COAD-specific NDR	77060996
chr1	77072613	77074613	COAD-specific NDR	77073613
chr1	77877316	77879316	COAD-specific NDR	77878316
chr1	77940497	77942497	COAD-specific NDR	77941497
chr1	78606411	78608411	COAD-specific NDR	78607411
chr1	78719395	78721395	COAD-specific NDR	78720395
chr1	81918209	81920209	COAD-specific NDR	81919209
chr1	84725735	84727735	COAD-specific NDR	84726735
chr1	84734208	84736208	COAD-specific NDR	84735208
chr1	84737299	84739299	COAD-specific NDR	84738299
chr1	84871076	84873076	COAD-specific NDR	84872076
chr1	85097785	85099785	COAD-specific NDR	85098785
chr1	85581730	85583730	COAD-specific NDR	85582730
chr1	85600273	85602273	COAD-specific NDR	85601273
chr1	85694635	85696635	COAD-specific NDR	85695635
chr1	85740031	85742031	COAD-specific NDR	85741031
chr1	86710683	86712683	COAD-specific NDR	86711683
chr1	86985934	86987934	COAD-specific NDR	86986934
chr1	86992185	86994185	COAD-specific NDR	86993185
chr1	87002785	87004785	COAD-specific NDR	87003785
chr1	87046134	87048134	COAD-specific NDR	87047134
chr1	87223473	87225473	COAD-specific NDR	87224473
chr1	87257591	87259591	COAD-specific NDR	87258591
chr1	87317658	87319658	COAD-specific NDR	87318658
chr1	88183252	88185252	COAD-specific NDR	88184252
chr1	88353325	88355325	COAD-specific NDR	88354325
chr1	88638752	88640752	COAD-specific NDR	88639752
chr1	88640544	88642544	COAD-specific NDR	88641544
chr1	88682243	88684243	COAD-specific NDR	88683243
chr1	88776770	88778770	COAD-specific NDR	88777770
chr1	89077593	89079593	COAD-specific NDR	89078593
chr1	89239088	89241088	COAD-specific NDR	89240088
chr1	89500015	89502015	COAD-specific NDR	89501015
chr1	89510147	89512147	COAD-specific NDR	89511147
chr1	90454608	90456608	COAD-specific NDR	90455608
chr1	90683943	90685943	COAD-specific NDR	90684943
chr1	91497161	91499161	COAD-specific NDR	91498161
chr1	91501844	91503844	COAD-specific NDR	91502844
chr1	91598076	91600076	COAD-specific NDR	91599076
chr1	92183656	92185656	COAD-specific NDR	92184656
chr1	92284825	92286825	COAD-specific NDR	92285825
chr1	92307265	92309265	COAD-specific NDR	92308265
chr1	92876289	92878289	COAD-specific NDR	92877289
chr1	93282041	93284041	COAD-specific NDR	93283041
chr1	93322579	93324579	COAD-specific NDR	93323579
chr1	93512368	93514368	COAD-specific NDR	93513368
chr1	93579137	93581137	COAD-specific NDR	93580137
chr1	93911545	93913545	COAD-specific NDR	93912545
chr1	94046656	94048656	COAD-specific NDR	94047656
chr1	94082341	94084341	COAD-specific NDR	94083341
chr1	94086970	94088970	COAD-specific NDR	94087970
chr1	94848888	94850888	COAD-specific NDR	94849888
chr1	94903428	94905428	COAD-specific NDR	94904428
chr1	95070521	95072521	COAD-specific NDR	95071521
chr1	95076832	95078832	COAD-specific NDR	95077832
chr1	95086095	95088095	COAD-specific NDR	95087095
chr1	95106761	95108761	COAD-specific NDR	95107761
chr1	95109124	95111124	COAD-specific NDR	95110124
chr1	95141429	95143429	COAD-specific NDR	95142429
chr1	95272827	95274827	COAD-specific NDR	95273827
chr1	95286419	95288419	COAD-specific NDR	95287419
chr1	95352521	95354521	COAD-specific NDR	95353521
chr1	95445615	95447615	COAD-specific NDR	95446615
chr1	95534091	95536091	COAD-specific NDR	95535091
chr1	95540152	95542152	COAD-specific NDR	95541152
chr1	95549128	95551128	COAD-specific NDR	95550128
chr1	95591509	95593509	COAD-specific NDR	95592509
chr1	99339650	99341650	COAD-specific NDR	99340650
chr1	100053828	100055828	COAD-specific NDR	100054828
chr1	100440320	100442320	COAD-specific NDR	100441320
chr1	100814035	100816035	COAD-specific NDR	100815035
chr1	101759983	101761983	COAD-specific NDR	101760983
chr1	102031641	102033641	COAD-specific NDR	102032641
chr1	102196986	102198986	COAD-specific NDR	102197986
chr1	102198089	102200089	COAD-specific NDR	102199089
chr1	102510569	102512569	COAD-specific NDR	102511569
chr1	106174492	106176492	COAD-specific NDR	106175492
chr1	108078055	108080055	COAD-specific NDR	108079055
chr1	108222772	108224772	COAD-specific NDR	108223772
chr1	108224926	108226926	COAD-specific NDR	108225926
chr1	109078612	109080612	COAD-specific NDR	109079612
chr1	109407232	109409232	COAD-specific NDR	109408232
chr1	109676244	109678244	COAD-specific NDR	109677244
chr1	109678544	109680544	COAD-specific NDR	109679544
chr1	109760334	109762334	COAD-specific NDR	109761334
chr1	110058621	110060621	COAD-specific NDR	110059621
chr1	110305615	110307615	COAD-specific NDR	110306615
chr1	110477222	110479222	COAD-specific NDR	110478222
chr1	110926838	110928838	COAD-specific NDR	110927838
chr1	111988837	111990837	COAD-specific NDR	111989837
chr1	112118321	112120321	COAD-specific NDR	112119321
chr1	112938973	112940973	COAD-specific NDR	112939973
chr1	113031224	113033224	COAD-specific NDR	113032224
chr1	113090361	113092361	COAD-specific NDR	113091361
chr1	113122706	113124706	COAD-specific NDR	113123706
chr1	113240800	113242800	COAD-specific NDR	113241800
chr1	113411138	113413138	COAD-specific NDR	113412138
chr1	113446801	113448801	COAD-specific NDR	113447801
chr1	113554612	113556612	COAD-specific NDR	113555612
chr1	113560730	113562730	COAD-specific NDR	113561730
chr1	113589851	113591851	COAD-specific NDR	113590851
chr1	113751965	113753965	COAD-specific NDR	113752965
chr1	113784361	113786361	COAD-specific NDR	113785361
chr1	113795010	113797010	COAD-specific NDR	113796010
chr1	113812884	113814884	COAD-specific NDR	113813884
chr1	113850176	113852176	COAD-specific NDR	113851176
chr1	113862093	113864093	COAD-specific NDR	113863093
chr1	113981088	113983088	COAD-specific NDR	113982088
chr1	114076256	114078256	COAD-specific NDR	114077256
chr1	114351753	114353753	COAD-specific NDR	114352753
chr1	114429169	114431169	COAD-specific NDR	114430169
chr1	115254805	115256805	COAD-specific NDR	115255805
chr1	115260466	115262466	COAD-specific NDR	115261466
chr1	115279131	115281131	COAD-specific NDR	115280131
chr1	115770933	115772933	COAD-specific NDR	115771933
chr1	116213255	116215255	COAD-specific NDR	116214255
chr1	116352903	116354903	COAD-specific NDR	116353903
chr1	116652989	116654989	COAD-specific NDR	116653989
chr1	116665950	116667950	COAD-specific NDR	116666950
chr1	116667528	116669528	COAD-specific NDR	116668528
chr1	116694840	116696840	COAD-specific NDR	116695840
chr1	116720722	116722722	COAD-specific NDR	116721722
chr1	116796710	116798710	COAD-specific NDR	116797710
chr1	116798681	116800681	COAD-specific NDR	116799681
chr1	116864916	116866916	COAD-specific NDR	116865916
chr1	117016944	117018944	COAD-specific NDR	117017944
chr1	117023725	117025725	COAD-specific NDR	117024725
chr1	117188982	117190982	COAD-specific NDR	117189982
chr1	117367627	117369627	COAD-specific NDR	117368627
chr1	117463358	117465358	COAD-specific NDR	117464358
chr1	118086574	118088574	COAD-specific NDR	118087574
chr1	118154405	118156405	COAD-specific NDR	118155405
chr1	118222405	118224405	COAD-specific NDR	118223405
chr1	119502384	119504384	COAD-specific NDR	119503384
chr1	119935877	119937877	COAD-specific NDR	119936877
chr1	120163513	120165513	COAD-specific NDR	120164513
chr1	120203765	120205765	COAD-specific NDR	120204765
chr1	120269825	120271825	COAD-specific NDR	120270825
chr1	120316907	120318907	COAD-specific NDR	120317907
chr1	120353300	120355300	COAD-specific NDR	120354300
chr1	120358212	120360212	COAD-specific NDR	120359212
chr1	144920953	144922953	COAD-specific NDR	144921953
chr1	144938192	144940192	COAD-specific NDR	144939192
chr1	149903462	149905462	COAD-specific NDR	149904462
chr1	149907314	149909314	COAD-specific NDR	149908314
chr1	150587182	150589182	COAD-specific NDR	150588182
chr1	150639534	150641534	COAD-specific NDR	150640534
chr1	150725052	150727052	COAD-specific NDR	150726052
chr1	151345555	151347555	COAD-specific NDR	151346555
chr1	151349113	151351113	COAD-specific NDR	151350113
chr1	151361907	151363907	COAD-specific NDR	151362907
chr1	151471026	151473026	COAD-specific NDR	151472026
chr1	151481624	151483624	COAD-specific NDR	151482624
chr1	151485206	151487206	COAD-specific NDR	151486206
chr1	151540299	151542299	COAD-specific NDR	151541299
chr1	151677496	151679496	COAD-specific NDR	151678496
chr1	151684699	151686699	COAD-specific NDR	151685699
chr1	151947047	151949047	COAD-specific NDR	151948047
chr1	152496970	152498970	COAD-specific NDR	152497970
chr1	153202980	153204980	COAD-specific NDR	153203980
chr1	153487582	153489582	COAD-specific NDR	153488582
chr1	153492027	153494027	COAD-specific NDR	153493027
chr1	153504346	153506346	COAD-specific NDR	153505346
chr1	153542618	153544618	COAD-specific NDR	153543618
chr1	154978910	154980910	COAD-specific NDR	154979910
chr1	155095447	155097447	COAD-specific NDR	155096447
chr1	155910318	155912318	COAD-specific NDR	155911318
chr1	155911736	155913736	COAD-specific NDR	155912736
chr1	155913709	155915709	COAD-specific NDR	155914709
chr1	155972252	155974252	COAD-specific NDR	155973252
chr1	155973972	155975972	COAD-specific NDR	155974972
chr1	156029923	156031923	COAD-specific NDR	156030923
chr1	156486701	156488701	COAD-specific NDR	156487701
chr1	156962383	156964383	COAD-specific NDR	156963383
chr1	157015960	157017960	COAD-specific NDR	157016960
chr1	157328654	157330654	COAD-specific NDR	157329654
chr1	157466951	157468951	COAD-specific NDR	157467951
chr1	158070942	158072942	COAD-specific NDR	158071942
chr1	159836706	159838706	COAD-specific NDR	159837706
chr1	159929684	159931684	COAD-specific NDR	159930684
chr1	159939989	159941989	COAD-specific NDR	159940989
chr1	160508231	160510231	COAD-specific NDR	160509231
chr1	160750403	160752403	COAD-specific NDR	160751403
chr1	160827076	160829076	COAD-specific NDR	160828076
chr1	161671135	161673135	COAD-specific NDR	161672135
chr1	162034864	162036864	COAD-specific NDR	162035864
chr1	162216202	162218202	COAD-specific NDR	162217202
chr1	162337425	162339425	COAD-specific NDR	162338425
chr1	162350433	162352433	COAD-specific NDR	162351433
chr1	162388557	162390557	COAD-specific NDR	162389557
