chromosome	start	end	K-specific NDR	center
chr1	53575200	53577200	LUAD-specific NDR	53576200
chr1	54014087	54016087	LUAD-specific NDR	54015087
chr1	54057505	54059505	LUAD-specific NDR	54058505
chr1	54553244	54555244	LUAD-specific NDR	54554244
chr1	54907080	54909080	LUAD-specific NDR	54908080
chr1	55339251	55341251	LUAD-specific NDR	55340251
chr1	55353301	55355301	LUAD-specific NDR	55354301
chr1	55417860	55419860	LUAD-specific NDR	55418860
chr1	55883381	55885381	LUAD-specific NDR	55884381
chr1	55893883	55895883	LUAD-specific NDR	55894883
chr1	55912320	55914320	LUAD-specific NDR	55913320
chr1	55954432	55956432	LUAD-specific NDR	55955432
chr1	56147033	56149033	LUAD-specific NDR	56148033
chr1	56183737	56185737	LUAD-specific NDR	56184737
chr1	56525811	56527811	LUAD-specific NDR	56526811
chr1	56879539	56881539	LUAD-specific NDR	56880539
chr1	57153551	57155551	LUAD-specific NDR	57154551
chr1	57366659	57368659	LUAD-specific NDR	57367659
chr1	59042127	59044127	LUAD-specific NDR	59043127
chr1	59094030	59096030	LUAD-specific NDR	59095030
chr1	59229195	59231195	LUAD-specific NDR	59230195
chr1	59397756	59399756	LUAD-specific NDR	59398756
chr1	59679618	59681618	LUAD-specific NDR	59680618
chr1	60183916	60185916	LUAD-specific NDR	60184916
chr1	60298839	60300839	LUAD-specific NDR	60299839
chr1	60357742	60359742	LUAD-specific NDR	60358742
chr1	60809937	60811937	LUAD-specific NDR	60810937
chr1	61034087	61036087	LUAD-specific NDR	61035087
chr1	61037951	61039951	LUAD-specific NDR	61038951
chr1	61712695	61714695	LUAD-specific NDR	61713695
chr1	62352286	62354286	LUAD-specific NDR	62353286
chr1	62363553	62365553	LUAD-specific NDR	62364553
chr1	62835517	62837517	LUAD-specific NDR	62836517
chr1	64166040	64168040	LUAD-specific NDR	64167040
chr1	64260256	64262256	LUAD-specific NDR	64261256
chr1	64445896	64447896	LUAD-specific NDR	64446896
chr1	65002163	65004163	LUAD-specific NDR	65003163
chr1	65015391	65017391	LUAD-specific NDR	65016391
chr1	65388256	65390256	LUAD-specific NDR	65389256
chr1	65515613	65517613	LUAD-specific NDR	65516613
chr1	65858284	65860284	LUAD-specific NDR	65859284
chr1	66681933	66683933	LUAD-specific NDR	66682933
chr1	67007594	67009594	LUAD-specific NDR	67008594
chr1	67478436	67480436	LUAD-specific NDR	67479436
chr1	67627848	67629848	LUAD-specific NDR	67628848
chr1	67631122	67633122	LUAD-specific NDR	67632122
chr1	67820623	67822623	LUAD-specific NDR	67821623
chr1	67879566	67881566	LUAD-specific NDR	67880566
chr1	67948000	67950000	LUAD-specific NDR	67949000
chr1	68079312	68081312	LUAD-specific NDR	68080312
chr1	68117725	68119725	LUAD-specific NDR	68118725
chr1	68137271	68139271	LUAD-specific NDR	68138271
chr1	68220407	68222407	LUAD-specific NDR	68221407
chr1	68420484	68422484	LUAD-specific NDR	68421484
chr1	70784616	70786616	LUAD-specific NDR	70785616
chr1	71131607	71133607	LUAD-specific NDR	71132607
chr1	71132669	71134669	LUAD-specific NDR	71133669
chr1	71553626	71555626	LUAD-specific NDR	71554626
chr1	71768470	71770470	LUAD-specific NDR	71769470
chr1	72373211	72375211	LUAD-specific NDR	72374211
chr1	76137610	76139610	LUAD-specific NDR	76138610
chr1	77404003	77406003	LUAD-specific NDR	77405003
chr1	77409815	77411815	LUAD-specific NDR	77410815
chr1	77416081	77418081	LUAD-specific NDR	77417081
chr1	78702480	78704480	LUAD-specific NDR	78703480
chr1	82016874	82018874	LUAD-specific NDR	82017874
chr1	83612665	83614665	LUAD-specific NDR	83613665
chr1	84366408	84368408	LUAD-specific NDR	84367408
chr1	84795038	84797038	LUAD-specific NDR	84796038
chr1	84835832	84837832	LUAD-specific NDR	84836832
chr1	85393859	85395859	LUAD-specific NDR	85394859
chr1	85754354	85756354	LUAD-specific NDR	85755354
chr1	85759758	85761758	LUAD-specific NDR	85760758
chr1	86016073	86018073	LUAD-specific NDR	86017073
chr1	86047218	86049218	LUAD-specific NDR	86048218
chr1	86289313	86291313	LUAD-specific NDR	86290313
chr1	86315160	86317160	LUAD-specific NDR	86316160
chr1	86874380	86876380	LUAD-specific NDR	86875380
chr1	87568937	87570937	LUAD-specific NDR	87569937
chr1	87606505	87608505	LUAD-specific NDR	87607505
chr1	88405218	88407218	LUAD-specific NDR	88406218
chr1	89077593	89079593	LUAD-specific NDR	89078593
chr1	89930083	89932083	LUAD-specific NDR	89931083
chr1	90151293	90153293	LUAD-specific NDR	90152293
chr1	90710826	90712826	LUAD-specific NDR	90711826
chr1	90812265	90814265	LUAD-specific NDR	90813265
chr1	90859008	90861008	LUAD-specific NDR	90860008
chr1	91480910	91482910	LUAD-specific NDR	91481910
chr1	92105701	92107701	LUAD-specific NDR	92106701
chr1	93905016	93907016	LUAD-specific NDR	93906016
chr1	93911545	93913545	LUAD-specific NDR	93912545
chr1	94049792	94051792	LUAD-specific NDR	94050792
chr1	94214718	94216718	LUAD-specific NDR	94215718
chr1	94239964	94241964	LUAD-specific NDR	94240964
chr1	94485767	94487767	LUAD-specific NDR	94486767
chr1	94487242	94489242	LUAD-specific NDR	94488242
chr1	94521745	94523745	LUAD-specific NDR	94522745
chr1	94764877	94766877	LUAD-specific NDR	94765877
chr1	94837518	94839518	LUAD-specific NDR	94838518
chr1	94840457	94842457	LUAD-specific NDR	94841457
chr1	94846925	94848925	LUAD-specific NDR	94847925
chr1	94851774	94853774	LUAD-specific NDR	94852774
chr1	95067188	95069188	LUAD-specific NDR	95068188
chr1	95101449	95103449	LUAD-specific NDR	95102449
chr1	95135061	95137061	LUAD-specific NDR	95136061
chr1	95237001	95239001	LUAD-specific NDR	95238001
chr1	95238857	95240857	LUAD-specific NDR	95239857
chr1	95323046	95325046	LUAD-specific NDR	95324046
chr1	95363244	95365244	LUAD-specific NDR	95364244
chr1	96699095	96701095	LUAD-specific NDR	96700095
chr1	97099615	97101615	LUAD-specific NDR	97100615
chr1	97427590	97429590	LUAD-specific NDR	97428590
chr1	97742611	97744611	LUAD-specific NDR	97743611
chr1	97746655	97748655	LUAD-specific NDR	97747655
chr1	97802363	97804363	LUAD-specific NDR	97803363
chr1	98551499	98553499	LUAD-specific NDR	98552499
chr1	98757714	98759714	LUAD-specific NDR	98758714
chr1	100282826	100284826	LUAD-specific NDR	100283826
chr1	100294009	100296009	LUAD-specific NDR	100295009
chr1	100429584	100431584	LUAD-specific NDR	100430584
chr1	101447472	101449472	LUAD-specific NDR	101448472
chr1	101468825	101470825	LUAD-specific NDR	101469825
chr1	101750664	101752664	LUAD-specific NDR	101751664
chr1	103523123	103525123	LUAD-specific NDR	103524123
chr1	104011674	104013674	LUAD-specific NDR	104012674
chr1	104124342	104126342	LUAD-specific NDR	104125342
chr1	104599089	104601089	LUAD-specific NDR	104600089
chr1	108732536	108734536	LUAD-specific NDR	108733536
chr1	109372277	109374277	LUAD-specific NDR	109373277
chr1	109423198	109425198	LUAD-specific NDR	109424198
chr1	109727240	109729240	LUAD-specific NDR	109728240
chr1	109760334	109762334	LUAD-specific NDR	109761334
chr1	109892472	109894472	LUAD-specific NDR	109893472
chr1	110112332	110114332	LUAD-specific NDR	110113332
chr1	110861647	110863647	LUAD-specific NDR	110862647
chr1	111153881	111155881	LUAD-specific NDR	111154881
chr1	111226277	111228277	LUAD-specific NDR	111227277
chr1	111229042	111231042	LUAD-specific NDR	111230042
chr1	111798822	111800822	LUAD-specific NDR	111799822
chr1	111828739	111830739	LUAD-specific NDR	111829739
chr1	111832440	111834440	LUAD-specific NDR	111833440
chr1	111964877	111966877	LUAD-specific NDR	111965877
chr1	112838782	112840782	LUAD-specific NDR	112839782
chr1	113002960	113004960	LUAD-specific NDR	113003960
chr1	113383018	113385018	LUAD-specific NDR	113384018
chr1	113449231	113451231	LUAD-specific NDR	113450231
chr1	113733534	113735534	LUAD-specific NDR	113734534
chr1	113741585	113743585	LUAD-specific NDR	113742585
chr1	113748265	113750265	LUAD-specific NDR	113749265
chr1	113862093	113864093	LUAD-specific NDR	113863093
chr1	113943545	113945545	LUAD-specific NDR	113944545
chr1	114159560	114161560	LUAD-specific NDR	114160560
chr1	114216435	114218435	LUAD-specific NDR	114217435
chr1	114336252	114338252	LUAD-specific NDR	114337252
chr1	114611608	114613608	LUAD-specific NDR	114612608
chr1	115046943	115048943	LUAD-specific NDR	115047943
chr1	115856616	115858616	LUAD-specific NDR	115857616
chr1	115915124	115917124	LUAD-specific NDR	115916124
chr1	115955061	115957061	LUAD-specific NDR	115956061
chr1	116012022	116014022	LUAD-specific NDR	116013022
chr1	116017672	116019672	LUAD-specific NDR	116018672
chr1	116487935	116489935	LUAD-specific NDR	116488935
chr1	116660261	116662261	LUAD-specific NDR	116661261
chr1	116785558	116787558	LUAD-specific NDR	116786558
chr1	116938651	116940651	LUAD-specific NDR	116939651
chr1	117171244	117173244	LUAD-specific NDR	117172244
chr1	117238426	117240426	LUAD-specific NDR	117239426
chr1	117259193	117261193	LUAD-specific NDR	117260193
chr1	117669530	117671530	LUAD-specific NDR	117670530
chr1	117707847	117709847	LUAD-specific NDR	117708847
chr1	117841992	117843992	LUAD-specific NDR	117842992
chr1	118104380	118106380	LUAD-specific NDR	118105380
chr1	118112719	118114719	LUAD-specific NDR	118113719
chr1	118133099	118135099	LUAD-specific NDR	118134099
chr1	118169430	118171430	LUAD-specific NDR	118170430
chr1	118172466	118174466	LUAD-specific NDR	118173466
chr1	118174137	118176137	LUAD-specific NDR	118175137
chr1	119025118	119027118	LUAD-specific NDR	119026118
chr1	119046118	119048118	LUAD-specific NDR	119047118
chr1	119384558	119386558	LUAD-specific NDR	119385558
chr1	119456110	119458110	LUAD-specific NDR	119457110
chr1	119537624	119539624	LUAD-specific NDR	119538624
chr1	120073705	120075705	LUAD-specific NDR	120074705
chr1	120136171	120138171	LUAD-specific NDR	120137171
chr1	120321658	120323658	LUAD-specific NDR	120322658
chr1	120623040	120625040	LUAD-specific NDR	120624040
chr1	144923082	144925082	LUAD-specific NDR	144924082
chr1	144997009	144999009	LUAD-specific NDR	144998009
chr1	145006764	145008764	LUAD-specific NDR	145007764
chr1	145080136	145082136	LUAD-specific NDR	145081136
chr1	145162888	145164888	LUAD-specific NDR	145163888
chr1	145195018	145197018	LUAD-specific NDR	145196018
chr1	145423493	145425493	LUAD-specific NDR	145424493
chr1	145501424	145503424	LUAD-specific NDR	145502424
chr1	145544169	145546169	LUAD-specific NDR	145545169
chr1	145546204	145548204	LUAD-specific NDR	145547204
chr1	145584133	145586133	LUAD-specific NDR	145585133
chr1	145632981	145634981	LUAD-specific NDR	145633981
chr1	145667880	145669880	LUAD-specific NDR	145668880
chr1	146704621	146706621	LUAD-specific NDR	146705621
chr1	146709033	146711033	LUAD-specific NDR	146710033
chr1	146710977	146712977	LUAD-specific NDR	146711977
chr1	146946437	146948437	LUAD-specific NDR	146947437
chr1	146987478	146989478	LUAD-specific NDR	146988478
chr1	147010032	147012032	LUAD-specific NDR	147011032
chr1	147079495	147081495	LUAD-specific NDR	147080495
chr1	147205757	147207757	LUAD-specific NDR	147206757
chr1	147309190	147311190	LUAD-specific NDR	147310190
chr1	147781551	147783551	LUAD-specific NDR	147782551
chr1	148565040	148567040	LUAD-specific NDR	148566040
chr1	149775181	149777181	LUAD-specific NDR	149776181
chr1	149988500	149990500	LUAD-specific NDR	149989500
chr1	150595766	150597766	LUAD-specific NDR	150596766
chr1	150642967	150644967	LUAD-specific NDR	150643967
chr1	150742529	150744529	LUAD-specific NDR	150743529
chr1	150985251	150987251	LUAD-specific NDR	150986251
chr1	151040930	151042930	LUAD-specific NDR	151041930
chr1	151116444	151118444	LUAD-specific NDR	151117444
chr1	151480513	151482513	LUAD-specific NDR	151481513
chr1	151485206	151487206	LUAD-specific NDR	151486206
chr1	151557269	151559269	LUAD-specific NDR	151558269
chr1	151578084	151580084	LUAD-specific NDR	151579084
chr1	151652472	151654472	LUAD-specific NDR	151653472
chr1	151677496	151679496	LUAD-specific NDR	151678496
chr1	151711635	151713635	LUAD-specific NDR	151712635
chr1	151740021	151742021	LUAD-specific NDR	151741021
chr1	151745390	151747390	LUAD-specific NDR	151746390
chr1	151918007	151920007	LUAD-specific NDR	151919007
chr1	151948525	151950525	LUAD-specific NDR	151949525
chr1	151960002	151962002	LUAD-specific NDR	151961002
chr1	151970621	151972621	LUAD-specific NDR	151971621
chr1	152879952	152881952	LUAD-specific NDR	152880952
chr1	152884613	152886613	LUAD-specific NDR	152885613
chr1	152904056	152906056	LUAD-specific NDR	152905056
chr1	153317998	153319998	LUAD-specific NDR	153318998
chr1	153487582	153489582	LUAD-specific NDR	153488582
chr1	153587909	153589909	LUAD-specific NDR	153588909
chr1	153627019	153629019	LUAD-specific NDR	153628019
chr1	153703836	153705836	LUAD-specific NDR	153704836
chr1	153705677	153707677	LUAD-specific NDR	153706677
chr1	154127003	154129003	LUAD-specific NDR	154128003
chr1	154168545	154170545	LUAD-specific NDR	154169545
chr1	154178988	154180988	LUAD-specific NDR	154179988
chr1	154358715	154360715	LUAD-specific NDR	154359715
chr1	154389950	154391950	LUAD-specific NDR	154390950
chr1	154411182	154413182	LUAD-specific NDR	154412182
chr1	154441509	154443509	LUAD-specific NDR	154442509
chr1	154455911	154457911	LUAD-specific NDR	154456911
chr1	154511199	154513199	LUAD-specific NDR	154512199
